,,,,,,
 ,크리에이터센터/멤버십,v 0.1,26.03.30,* 설명하지 않은 부분은 기존 프로세스와 동일 ,,
,화면 기준,,,,,
,대분류,소분류,기능명,기능 설명,확인 필요 사항/ 고민되는 사항..,비고
,1. 크리에이터 센터 (Creator Center),,,,,
,로그인 페이지,로그인 페이지,노출 필요 항목,"노출 필요 항목
- 크리에이터 센터 로고
- 안내문구 (TBD, ex. 콜로소  크리에이터 전용 관리 페이지)
- 아이디(이메일)
  ㄴ place holder : 이메일을 입력하세요.
- 비밀번호
ㄴ place holder : 비밀번호를 입력하세요.
-로그인 버튼 
  ㄴ 클릭 시 크리에이터 회원 DB의 아이디/비밀번호 일치 여부 확인 후 로그인 여부 판단해야 함",,
,로그인 페이지,로그인 페이지,로그인 판단,"- 크리에이터 회원의 정보와 일치하는 경우
  ㄴ 로그인 완료
- 크리에이터 회원의 정보와 불일치 하는경우
  ㄴ 에러메시지 노출: 로그인에 실패했습니다. 가입하지 않은 이메일이거나, 이메일 또는 비밀번호가 회원정보와 일치하지 않습니다.
  ㄴ 입력항목 유지",,
,크리에이터 센터,크리에이터 센터,상시 노출 항목/메뉴,"아래 항목들은 크리에이터 센터 왼쪽 영역에 상시 노출되어야 함
각 메뉴명 클릭 시 해당하는 메뉴로 이동
[노출 필요 항목]
- 크리에이터홈 (큐레이션 관리)
- 포스트 관리
- 멤버십 상품 조회
- 프로필 수정
[메뉴 이외 기능]
- 크리에이터 센터 로고
  ㄴ 클릭 시 크리에이터 홈으로 이동
- 로그아웃 버튼
  ㄴ 클릭 시 해당 계정 로그아웃하시겠습니까 모달 노출 
  ㄴ예 클릭 시 로그인 페이지로 이동
  ㄴ 아니오 클릭 시 로그인 상태 유지",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,노출 필요 항목,"- 메뉴 제목
- 메뉴 설명
- 상태 관리 영역
- 커버 이미지 관리 영역
- 고정 포스트 관리 영역
- 큐레이션 관리 영역
-홈 미리보기 버튼
- 변경사항 저장 버튼",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,"메뉴 제목, 설명 영역","메뉴 제목  : 홈 큐레이션
메뉴 설명 : 나의 홈페이지에 노출할 포스트를 설정하고 순서를 지정하세요.",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,상태 관리 영역,"현재 본인의 크리에이터 페이지의 노출 상태를 보여줘야 함
- 상태 :  정상, 대기, 숨김, (삭제)
ㄴ 해당 영역에서 본인이 컨트롤 가능해야 하는지?",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,커버 이미지 관리 영역,"크리에이터 홈에 노출될 커버 이미지를 업로드, 수정, 삭제 가능해야 함
ㄴ 이미지 업로드 가이드 정의 필요 (디자인)",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,고정 포스트 관리 영역,"front 크리에이터 홈 기본 정보 영역 하위에 고정으로 노출할 1개의 포스트를 지정할 수 있어야 함
이미 고정 포스트를 셋팅해 둔 경우, 고정 포스트를 변경하거나 삭제할 수 있어야 함
필수 셋팅 값 아님 ( 고정 포스트 지정하지 않는 경우 front>해당 크리에이터 홈 내 고정 포스트 영역 미노출)

[deafult]
 - 고정 포스트 관리 영역 클릭 시 포스트 리스트 팝업 노출되며 크리에이터의 ""공개된"" 포스트 리스트 모두 노출(유,무료 상관x)
 - 리스트 내 포스트 1개 선택(단건 선택만 가능)하여 적용 클릭 시, 팝업 닫히며 선택한 포스트가 고정포스트 관리 영역에 노출되어야 함
 - 영역 place holder : 고정으로 노출할 포스트를 선택해보세요. 

[고정 포스트 셋팅 이후]
 - 포스트 ID 
 - 포스트 기본 정보 노출( 썸네일, 고정태그, 포스트 제목, 유무료 여부(전체 공개 or 상품-멤버십명),작성일자)
 - 포스트 변경 버튼 : 클릭 시 포스트 리스트 팝업 노출, 이후 적용 프로세스 동일
 - 삭제 버튼 :  클릭 시 등록된 고정 포스트 삭제, 영역default 상태로 변경됨",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,"큐레이션 관리 영역 (생성,수정, 삭제, 구성..)","front 크리에이터 홈 고정 포스트 영역 하위에 노출되는 포스트 큐레이션 관리(추가, 수정, 삭제)가 가능해야 함
큐레이션 구좌는 N개 생성이 가능하며, 하나의 큐레이션 구좌 내 노출되는 포스트도 N개 추가가 가능해야 함
Drag &Drop 기능은 큐레이션 구좌 간에도 가능하며, 하나의 구좌 내 포스트 리스트 항목 내에서도 가능해야 함
""정상""인 큐레이션 구좌 내 포스트가 추가되어 있으나 해당 포스트의 상태가 정상이 아닌 경우, front에 노출되지 않음
필수 셋팅 항목 아님
큐레이션 구좌에 추가한 포스트가 숨김되는 경우, 자동으로 해당 포스트 제외 (모든 포스트 숨김인 경우 큐레이션 구좌 비노출)

[default]
- 큐레이션 추가 버튼 노출 : 클릭 시 하위로 큐레이션 구좌 생성되어야 함
- 큐레이션 구좌 내 노출 필요 항목
  ㄴ 순서(번호)
  ㄴ dnd 기능 :  각 구좌 노출 순서를 자유롭게 지정 할 수 있어야 함
  ㄴ 큐레이션 구좌 제목 : 텍스트 입력 가능
  ㄴ 큐레이션 구좌 상태  : 정상, 숨김 설정 (default : 정상)
  ㄴ 포스트 추가 버튼 : 클릭 시 ""발행된"" 포스트 리스트 팝업 노출 (다건 선택 가능)
  ㄴ 구좌 삭제 버튼 : 해당 구좌를 삭제하시겠습니까? 얼럿 노출 후 예 클릭 시 해당 구좌 삭제, 아니오 클릭 시 해당 구좌 유지


[구좌 내 포스트 1개라도 등록된 경우]
- 추가한 포스트 리스트가 노출되어야 함
- 포스트 리스트 내 노출 필요 항목
  ㄴ 순서(번호)
  ㄴ 포스트 ID
  ㄴ 포스트 기본 정보 :  썸네일, 포스트 제목, 포스트 상태(정상/숨김/대기), 유무료 여부(전체 공개 or 상품-멤버십명),작성일자
  ㄴ dnd 기능 : 각 포스트 항목의 노출 순서를 자유롭게 지정 할 수 있어야 함
  ㄴ포스트 삭제 버튼 : 각 포스트 항목에 삭제 버튼 노출 필요 클릭 시 즉시 해당 항목 리스트에서 삭제
- 포스트 추가 버튼 : 클릭 시 포스트 리스트 팝업 노출 (다건 선택 가능)",포스트 리스트 팝업 내 공개상태인 포스트만 노출해도 문제 없을지?,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,미리보기 버튼,"- 버튼 클릭 시 해당 메뉴에서 구성한 정보들을 미리보기 화면에서 노출
 (미리보기 URL : www.coloso.co.kr/creator/{id})",,
,"크리에이터 HOME 
(큐레이션 관리)",크리에이터 HOME,저장 버튼,"클릭 시 크리에이터 홈 메뉴에서 추가, 수정한 모든 사항 저장 필요
- 저장 성공 시 : 크리에이터 홈페이지 저장에 성공했습니다.
- 저장 실패 시 : 크리에이터 홈페이지 저장에 실패했습니다. 저장 실패 사유 : {errorlog}",,
,포스트 관리,포스트 관리 메뉴 (default),,"해당 크리에이터가 발행한/임시 저장한 전체 포스트 리스트를 확인할 수 있어야 함
전체 포스트 리스트를 정렬, 검색할 수 있어야 함
항목 클릭 시 해당 포스트의 상세 페이지로 이동",,
,포스트 관리,포스트 관리 메뉴 (default),포스트 관리 메뉴 노출 필요 항목,"- 메뉴 제목
- 메뉴 설명
- 신규 포스트 추가 버튼 : 클릭 시 포스트 추가 페이지로 이동
- 임시 저장 리스트 버튼 :  클릭 시 해당 크리에이터가 임시 저장한 포스트 초안 리스트 노출
  ㄴ 해당 리스트 내 항목 클릭 시 임시저장된 정보를 포함하여 포스트 추가 페이지로 이동
- 필터/검색 기능
  ㄴ 상태 (정상, 대기, 숨김,삭제(soft delete))
  ㄴ 포스트 ID
  ㄴ 포스트 제목
  ㄴ 연결된 멤버십 상품명
- 포스트 리스트 : 클릭 시 해당 포스트 상세 페이지로 이동
  ㄴ 포스트ID
  ㄴ 상태 :  정상, 대기,숨김,삭제
  ㄴ 포스트 제목
  ㄴ 썸네일 
  ㄴ 유/무료 여부 : 무료(전체공개), 유료(연결된 멤버십 상품명 or id)
  ㄴ 댓글 게시판 운영 여부
  ㄴ 작성일
  ㄴ노출 시작일
  ㄴ노출 종료일
","- 임시 저장 리스트 분리해서 보여주는게 UX상 낫지 않나?
- 상태 대기의 경우 노출 시작,종료일 바라보고 기간 내인 경우 정상으로 돌리기 (클래스와 동일) 가능한지
[상태] 고민 필요
- draft (임시저장)
- scheduled (대기)
- published (정상)
- hidden (숨김)

[노출조건]
- start_at
- end_at

[실제 노출 조건]
published AND (start_at <= now <= end_at)","추후참고용,,
front 포스트 노출 = 
무료 OR (상품이 정상, 기간 내이며 연결된 상품 중 active 1개 이상)"
,포스트 관리,포스트 관리 메뉴 (default),임시저장 리스트 팝업,"클릭 시 임시저장된 포스트 리스트 팝업 노출
최신 저장된 순서대로 리스트 목록 노출

임시저장된 지 100일 이상 경과한 포스트의 경우 자동 삭제
안내문구 노출 :  100일 이상 지난 포스트의 경우 자동 삭제됩니다.

해당 리스트 내 항목 클릭 시 임시저장된 정보를 포함하여 포스트 추가 페이지로 이동",임시저장된 포스트 관리 정책(삭제?),
,포스트 관리,포스트 추가 페이지,주요 기능,"포스트 관리 메뉴 내 ""신규 포스트 추가 ""버튼 클릭 시 노출되는 페이지
임시저장 리스트 내 특정 포스트 클릭 시  임시저장된 정보를 포함하여 포스트 추가 페이지에 노출해야 함",,
,포스트 관리,포스트 추가 페이지,노출 필요 항목,"- 제목
- 미리보기 버튼
- 임시저장 버튼
- 발행하기 버튼
- 포스트 콘텐츠 영역
  ㄴ포스트 제목
  ㄴ 포스트 썸네일
  ㄴ 포스트 본문 : 에디터 포함 (기본적인 텍스트 스타일 에디터 +,이미지, 동영상 임베딩, 첨부파일 가능해야 함)
 - 포스트 기본 정보 영역
  ㄴ 현재 상태 :  임시저장 중
  ㄴ 공개 설정 : 정상, 대기, 숨김
  ㄴ열람 권한 설정 : 무료(전체공개) or 유료(리스트 중 연결할 상품 선택)
      ㄴ 열람 권한 설정 관련 : 하나의 포스트를 정기 구독형 상품과 단건 결제형 상품에 연결할 수 없음. 하나의 포스트를 N개 상품에 연결 가능하나, 각 유형 간 연결 불가능함
  ㄴ열람 기간 설정
  ㄴ 댓글 게시판 운영 여부 (Y/N)","포스트-상품 연결 관련 정책 정리 필요
포스트는 유료, 무료 설정을 할 수 있으며 유료의 경우에는 크리에이터 상품을 선택하여 연결, 접근 권한을 제어할 수 있습니다.
하나의 포스트를 정기 구독형 크리에이터 상품에 연결한 경우, 해당 포스트는 단건 결제형 크리에이터 상품에 연결할 수 없습니다.
(케이스 별 노출 메시지 정리 필요)",
,포스트 관리,포스트 추가 페이지,제목영역,"""포스트 추가"" 레이블",,
,포스트 관리,포스트 추가 페이지,미리보기 버튼,"-클릭 시 입력한 정보가 포함된 포스트 미리보기 페이지 노출
 (미리보기 URL : www.coloso.co.kr/creator/post/draft/{id})",,
,포스트 관리,포스트 추가 페이지,임시저장 버튼,"- 발행(저장) 전 임시로 저장하기 위한 버튼
- 임시저장은 필수값 충족과 관계없이 가능함
클릭 시 임시로 포스트 내 작성한 정보를 저장하고 포스트 관리 메뉴로 이동
- 임시저장 하지 않고 해당 페이지 이탈하는 경우 ""입력한 정보가 저장되지 않습니다"" 그래도 나갈까요? 알림 노출",,
,포스트 관리,포스트 추가 페이지,발행하기 버튼,"입력한 정보 저장에 성공한 경우
 ㄴ ""저장되었습니다"" 문구 노출, 포스트 관리 메뉴로 이동되며 저장한 포스트 목록이 포스트 관리 리스트에 노출되어야 함
저장에 실패한 경우
(일반적인 경우)
  ㄴ에러메시지 노출 ""저장에 실패했습니다. 저장 실패 사유 : {errorlog}""
(필수값이 없는 경우)
  ㄴ ""저장을 위해서는 필수값 입력이 필요합니다."" 메시지 노출","저장안되는 케이스/메시지 정리(필수값,,)
",발행하기 -> 저장하기 워딩 변경 필요
,포스트 관리,포스트 추가 페이지,포스트 콘텐츠 영역,"- 포스트 제목(*) : 필수값, 제목 최소/최대 글자수 지정 필요 여부 확인 (디자인)
- 포스트 썸네일
  ㄴ 썸네일 이미지 업로드 가이드 필요 (디자인) / 미등록시 노출될 default 이미지 필요 (디자인)
  ㄴ 영역 클릭 시 PC에 저장된 이미지 업로드 가능
- 포스트 본문  : 에디터 기능 필수, 입력 최소 글자수 지정 필요여부 확인
  ㄴ 기본적인 텍스트 스타일 에디터 (+링크 포함)
   ㄴ이미지 첨부 : 클릭 시 PC에 저장된 이미지 업로드 가능
   ㄴ 동영상 임베딩 링크 : 클릭 시 임베딩할 URL 입력 팝업 노출 (youtube, vimeo)
   ㄴ 파일 첨부 : 업로드 가능한 파일 가이드 필요 (개발, 디자인)","- 필수값?
- 썸네일, 본문 내 이미지, 동영상 임베딩, 파일 첨부의 경우 각 항목 별 업로드 가이드 필요함 (개발, 디자인)",
,포스트 관리,포스트 추가 페이지,포스트 기본 정보 영역,"-  현재 상태 :  임시저장 중 (신규 추가의 경우는 발행하기 버튼 클릭 전까지 임시저장됨)
-  공개 설정 : 정상, 대기, 숨김,삭제 (임시저장은 공개 설정 변경할 수 없음) (default :숨김)
- 열람 권한 설정 : 무료(전체공개) or 유료(리스트 중 연결할 상품 선택) (default : 무료(전체공개))
   ㄴ 하나의 포스트를 정기 구독형 상품과 단건 결제형 상품에 연결할 수 없음. 
   ㄴ 하나의 포스트를 N개 상품에 연결 가능하나, 각 유형 간 연결 불가능함
   ㄴ 무료(전체공개)를 선택한 경우, 누구나(로그인/비로그인 모두) 해당 포스트를 볼 수 있음 (단, 무료 포스트 하위의 게시판은 로그인 기반임)
   ㄴ 유료를 선택한 경우, 필수로 연결하고 싶은 멤버십 상품을 선택해야 함 (멤버십 상품은 해당 크리에이터가 가진 모든 상품 리스트 조회 가능해야 함) 
       ㄴ 유료의 경우 해당 상품을 가입한 고객에 한해 포스트와 포스트 하위의 댓글 게시판 접근이 가능함 
- 열람 기간 설정 : 상시 or 기간 설정 (시작일/종료일 YYYY:MM:DD HH:MM)
 - 댓글 게시판 운영 여부 (Y/N)","필수값?
대기 상태 필요할지?
팬딩은 공개, 비공개, 예약공개/비공개",
,포스트 관리,포스트 상세 페이지,주요 기능,포스트 관리 메뉴 내 발행이 이미 완료된 특정 포스트 항목 클릭 시 노출되는 페이지,,
,포스트 관리,포스트 상세 페이지,노출 필요 항목,"- 제목
- 미리보기 버튼
- 저장하기 버튼
- 포스트 콘텐츠 영역
  ㄴ포스트 제목
  ㄴ 포스트 썸네일
  ㄴ 포스트 본문 : 에디터 포함 (기본적인 텍스트 스타일 에디터 +,이미지, 동영상 임베딩, 첨부파일 가능해야 함)
 - 포스트 기본 정보 영역
  ㄴ 현재 상태 :  발행됨
  ㄴ 공개 설정 : 정상, 대기, 숨김,삭제
  ㄴ열람 권한 설정 : 무료(전체공개) or 유료(리스트 중 연결할 상품 선택)
      ㄴ 열람 권한 설정 관련 : 하나의 포스트를 정기 구독형 상품과 단건 결제형 상품에 연결할 수 없음. 하나의 포스트를 N개 상품에 연결 가능하나, 각 유형 간 연결 불가능함
  ㄴ열람 기간 설정
  ㄴ 댓글 게시판 운영 여부 (Y/N)",,
,포스트 관리,포스트 상세 페이지,제목영역,"""포스트 상세"" 레이블",,
,포스트 관리,포스트 상세 페이지,미리보기 버튼,"-클릭 시 수정 중인 정보가 포함된 포스트 미리보기 페이지 노출
 (미리보기 URL : www.coloso.co.kr/creator/post/draft/{id})",,
,포스트 관리,포스트 상세 페이지,저장하기 버튼,"입력한 정보 저장에 성공한 경우
 ㄴ ""저장되었습니다"" 문구 노출, 포스트 관리 메뉴로 이동되며 저장한 포스트 목록이 포스트 관리 리스트에 노출되어야 함
 ㄴ front에 수정 사항이  즉시 반영되어야 함 
저장에 실패한 경우
(일반적인 경우)
  ㄴ""저장에 실패했습니다"" 에러메시지 노출
(필수값이 없는 경우)
  ㄴ ""저장을 위해서는 필수값 입력이 필요합니다."" 메시지 노출",,
,포스트 관리,포스트 상세 페이지,포스트 콘텐츠 영역,기본 요소 및 필수값 항목은 포스트 추가 시와 동일,,
,포스트 관리,포스트 상세 페이지,포스트 기본 정보 영역,"-  현재 상태 :  발행됨 (상세의 경우는 이미 발행된 포스트를 수정하는 것이기 때문에 상태는 항상 ""발행됨""이어야 함)
-  공개 설정 : 정상, 대기, 숨김 ,삭제
- 열람 권한 설정 : 무료(전체공개) or 유료(리스트 중 연결할 상품 선택)
   ㄴ 하나의 포스트를 정기 구독형 상품과 단건 결제형 상품에 연결할 수 없음. 
   ㄴ 하나의 포스트를 N개 상품에 연결 가능하나, 각 유형 간 연결 불가능함
   ㄴ무료-유료 변경 가능함 (양방향 가능하나, 무료-유료로 변경하는 경우 즉시 해당 유료상품 가입자만 권한 가짐)
   
- 열람 기간 설정 : 상시 or 기간 설정 (시작일/종료일 YYYY:MM:DD HH:MM)
  ㄴ 열람 기간이 지난 이후에 ""상시""로 변경 시 해당 포스트 front 상시 노출이 가능해야 함
 - 댓글 게시판 운영 여부 (Y/N)
   ㄴ 댓글 게시판에 댓글이 존재하는 경우라도 댓글 게시판 운영 여부에 따라 front 노출 여부 결정됨 ","포스트에 연결된 상품이 1개라도 판매된 경우 포스트 연결 해제에 제한을 둬야 하는지?
포스트 연결 해제 시 기존 구매자도 접근이 해제됨",
,멤버십 상품,멤버십 상품 조회 메뉴 (default),주요 기능,"크리에이터 어드민에서 콜로소 관리자가 생성한 해당 크리에이터의 멤버십 상품 리스트를 모두 확인할 수 있어야 함
전체 상품 리스트를 정렬할 수 있어야 함
항목 클릭 시 해당 멤버십 상품의 상세페이지로 이동
멤버십 상품 추가/수정은 크리에이터 센터에서 제공하지 않음 (모두 크리에이터 어드민에서 기능 제공 필요)",,
,멤버십 상품,멤버십 상품 조회 메뉴 (default),멤버십 상품 메뉴 노출 필요 항목,"- 메뉴 제목
- 메뉴 설명
- 필터/검색 기능
  ㄴ 상태 (정상, 대기, 숨김)
  ㄴ 상품 유형 (정기구독형, 단건결제형)
  ㄴ 상품 ID
  ㄴ 상품명
- 멤버십 상품 리스트 : 클릭 시 해당 멤버십 상품 상세 페이지로 이동
  ㄴ 멤버십 ID
  ㄴ 상태 :  정상, 대기,숨김, (삭제)
  ㄴ 멤버십 상품 유형
  ㄴ 멤버십 상품명
  ㄴ 썸네일 
  ㄴ 가격정보 (판매가)
  ㄴ판매 시작일
  ㄴ판매 종료일
  ㄴ 가입중인 멤버 수
","리워드 항목 필요?
특정 멤버십을 대기, 숨김, 삭제하는 경우 해당 상품에 연결된 포스트도 상태 따라감?",
,멤버십 상품,멤버십 상품 상세 페이지,주요 기능,"멤버십 상품 리스트 내 특정 상품 항목 클릭 시 노출되는 페이지
해당 페이지에서 크리에이터가 수정할 수 있는 항목은 없음. (VIEW ONLY)
멤버십 상품의 수정은 크리에이터 어드민> 콜로소 관리자가 가능함
크리에이터 센터> 멤버십 상품 메뉴에서는 기생성된 상품의 정보를 보는 것만 가능함",,
,멤버십 상품,멤버십 상품 상세 페이지,노출 필요 항목,"기본적으로 크리에이터 어드민> 상품 상세 페이지와 동일하나 수정권한 없는 상태로 view를 기본으로 함.. (아래 목록 TBD)
- 메뉴 제목
- 메뉴 설명
- 멤버십 상품 정보
  ㄴ 멤버십 ID
  ㄴ 상태 :  정상, 대기,숨김, (삭제)
  ㄴ 멤버십 상품 유형
  ㄴ 멤버십 상품명
  ㄴ 썸네일 
  ㄴ 가격정보 (판매가)
  ㄴ판매 시작일
  ㄴ판매 종료일
  ㄴ 가입중인 멤버 수
","여기서도 포스트 연결이 가능해야 할까?
view만 되면 되니 항목에 대한 자세한 서술은 크리에이터 어드민> 멤버십 상품 메뉴 참고 필요",
,프로필 관리,프로필 관리 메뉴(default),주요 기능,"해당 크리에이터의 프로필 정보를 조회하고, 일부를 수정할 수 있어야 함
","콜로소 포트폴리오 크리에이터와 데이터 연결하는 경우 미리 정보 채우기 가능해야? 
나중에는 크리에이터 데이터 내 있는 항목들 다 가져와야 할것...",
,프로필 관리,프로필 관리 메뉴(default),노출 필요 항목,"- 크리에이터 정보 
  ㄴ 프로필 이미지 (수정 가능)
  ㄴ 크리에이터명(공개용) (수정 불가)
  ㄴ 소개 (수정 가능)
  ㄴ SNS (수정 가능)
  ㄴ 이력 (현재 front 노출하는 곳 없음) 
  ㄴ 슬러그 (수정불가)
- 미리보기 버튼
- 저장하기 버튼","MVP에서 노출이 안되는 데이터들을 언제 크리에이터 센터로 가지고 올 것인지 확인 필요 (개발)
--> 일단 mvp에서 노출할 정보만 가지고오자",
,프로필 관리,프로필 관리 메뉴(default),크리에이터 정보 영역,"기본적으로 크리에이터에 들어가는 정보는 콜로소BO>크리에이터 메뉴 내 정책과 동일함 (항목 별 min,max값,ui...)",,
,프로필 관리,프로필 관리 메뉴(default),미리보기 버튼,"- 버튼 클릭 시 해당 메뉴에서 구성한 정보들을 미리보기 화면에서 노출
 (미리보기 URL : www.coloso.co.kr/creator/{id})",,
,프로필 관리,프로필 관리 메뉴(default),저장하기 버튼,"클릭 시 즉시 수정한 모든 항목을 저장하고 front 노출함 
저장 시 필수값, 중복 체크 필요 사항 : 크리에이터명 (공개용)
- 저장 성공 시 : 프로필 정보 저장에 성공했습니다.
- 저장 실패 시 : 프로필 정보 저장에 실패했습니다. 저장 실패 사유 : {errorlog}",,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,도메인명 정리 필요,,,,,